Subject,Course Catalog Nbr,Course ID,Class Nbr,Acad Career,Acad Group,Course Descr,FCEF,GFC Hours,Acad Org,Requisite,Enroll Type,Class Assoc,Component,Class Section,Term,Session,Crse Topic ID,Topic Description,Class Notes,Instruction Mode,Class Status,Mtg Nbr,Start Date,End Date,Class Start,Class End,Duration,Meeting Pattern,Alt Week,MON,TUES,WED,THURS,FRI,SAT,SUN,Location,Facility,Room Size,Enroll Stat,Enroll Tot,Enroll Cap,Waitlist Cap,Class Assoc Req,Reserved Cap,Consent,Combined Section,Instructor Name and Role,Crse Units
SOWK,302,137531,15796,UGRD,SW,Research Context Theme Course,F,6-0,SW,,E,4,LEC,4,2191,1,0,,Restricted to BSW Learning Circles students in Grande Prairie. This course will be delivered off-site in Grande Prairie.,P,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,GR PRAIRIE,,0,O,26,27,0,Y,,N,,"Zuk,Gail L(PI)",6
SOWK,303,137533,15791,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,11,SEM,S11,2191,1,0,,Restricted to BSW Learning Circles students in Grande Prairie. This course will be delivered off-site in Grande Prairie.,P,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,GR PRAIRIE,,0,C,27,27,0,Y,,N,,"Schollaardt,Jodi Ann(SI)/Ayling,Christine(SI)",3
SOWK,303,137533,15792,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,11,TUT,T11,2191,1,0,,Restricted to BSW Learning Circles students in Grande Prairie. This course will be delivered off-site in Grande Prairie.,BL,A,1,10-Jan-2019,12-Apr-2019,,,0,TBA,,N,N,N,N,N,N,N,GR PRAIRIE,,0,C,27,27,0,Y,,N,,"Schollaardt,Jodi Ann(SI)/Ayling,Christine(SI)",
SOWK,303,137533,15771,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,1,SEM,S01,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,9:00,11:50,170,MRFSS  09:00-11:50,,Y,N,N,Y,Y,Y,Y,MAIN,PF 3257,40,O,19,23,0,Y,,N,,"Griffin,Patrick Coleman(PI)",3
SOWK,303,137533,15772,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,1,TUT,T01,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,13:00,15:50,170,MRFSS  13:00-15:50,,Y,N,N,Y,Y,Y,Y,MAIN,PF 3257,40,O,19,23,0,Y,,N,,"Griffin,Patrick Coleman(PI)",
SOWK,303,137533,15773,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,2,SEM,S02,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,9:00,11:50,170,MRFSS  09:00-11:50,,Y,N,N,Y,Y,Y,Y,MAIN,PF 4261,40,O,20,21,0,Y,,N,,"Stein,Jason John(PI)",3
SOWK,303,137533,15774,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,2,TUT,T02,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,13:00,15:50,170,MRFSS  13:00-15:50,,Y,N,N,Y,Y,Y,Y,MAIN,PF 4261,40,O,20,21,0,Y,,N,,"Stein,Jason John(PI)",
SOWK,303,137533,15775,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,3,SEM,S03,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,9:00,11:50,170,MRFSS  09:00-11:50,,Y,N,N,Y,Y,Y,Y,MAIN,PF 4267,29,O,18,21,0,Y,,N,,"Ing,Carol(PI)",3
SOWK,303,137533,15776,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,3,TUT,T03,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,13:00,15:50,170,MRFSS  13:00-15:50,,Y,N,N,Y,Y,Y,Y,MAIN,PF 4267,29,O,18,21,0,Y,,N,,"Ing,Carol(PI)",
SOWK,303,137533,15777,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,4,SEM,S04,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,9:00,11:50,170,MRFSS  09:00-11:50,,Y,N,N,Y,Y,Y,Y,MAIN,EDC 172,26,C,17,17,0,Y,,N,,"McLuckie,Alan(PI)",3
SOWK,303,137533,15778,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,4,TUT,T04,2191,NS,0,,,BL,A,1,03-Jan-2019,07-Jan-2019,13:00,15:50,170,MRFSS  13:00-15:50,,Y,N,N,Y,Y,Y,Y,MAIN,EDC 172,26,C,17,17,0,Y,,N,,"McLuckie,Alan(PI)",
SOWK,303,137533,15779,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,5,SEM,S05,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,9:00,11:50,170,TWRFS  09:00-11:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 3257,40,O,16,17,0,Y,,N,,"Griffin,Patrick Coleman(PI)",3
SOWK,303,137533,15780,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,N,5,TUT,T05,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,13:00,15:50,170,TWRFS  13:00-15:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 3257,40,O,16,17,0,Y,,N,,"Griffin,Patrick Coleman(PI)",
SOWK,303,137533,15781,UGRD,SW,Practice Individual in Context,H,1S-2T,SW,,E,6,SEM,S06,2191,NS,0,,,BL,A,1,19-Feb-2019,23-Feb-2019,9:00,11:50,170,TWRFS  09:00-11:50,,N,Y,Y,Y,Y,Y,N,MAIN,PF 4261,40,C,17,17,0,Y,,N,,"Ing,Carol(PI)",3
